link,type,time_ago,headline,title,description,published_time,modified_time,author,social_media
/news/fighters-on-rise-nyc-vechain-ufc-322,Athletes,3 weeks ago,Fighters On The Rise | VeChain UFC 322: Della…,Fighters On The Rise | VeChain UFC 322: Della Maddalena vs Makhachev,Pay Close Attention To These Three Emerging Talents On Saturday Night At MSG,2025-11-11 09:26:04-06:00,2025-11-11 09:45:40-06:00,E. Spencer Kyte,
/news/cody-haddon-allow-me-to-re-introduce-myself-ufc-322,Athletes,3 weeks ago,Cody Haddon | Allow Me to Re-Introduce Myself,Cody Haddon | Allow Me to Re-Introduce Myself,"Australian Talks Frustrating Year Filled With Doubts, Facing Malcolm Wellmaker On Saturday",2025-11-10 12:01:28-06:00,2025-11-11 12:14:48-06:00,E. Spencer Kyte,spencerkyte
/news/coach-conversation-ufc-322-valentina-shevchenko-vs-zhang-weili,Fight Coverage,3 weeks ago,Coach Conversation | VeChain UFC 322: Shevchenko vs…,Coach Conversation | VeChain UFC 322: Shevchenko vs Zhang,Tyson Chartier Breaks Down The Flyweight Title Fight Between Valentina Shevchenko And Zhang Weili,2025-11-10 08:21:59-06:00,2025-11-10 14:49:30-06:00,E. Spencer Kyte,spencerkyte
/news/fatima-kline-wants-keep-making-memories-ufc-322-new-york-city,Athletes,3 weeks ago,Fatima Kline Wants to Keep Making Memories,Fatima Kline Wants to Keep Making Memories,"Native New Yorker Discusses Fighting At MSG, Facing Angela Hill At VeChain UFC 322",2025-11-10 08:01:08-06:00,2025-11-10 11:42:50-06:00,E. Spencer Kyte,spencerkyte
/news/scorecard-ufc-fight-night-bonfim-vs-brown,Athletes,3 weeks ago,The Scorecard | UFC Fight Night: Bonfim vs Brown,The Scorecard | UFC Fight Night: Bonfim vs Brown,Saturday night’s main card produced action aplenty as the five featured fights produced a fistful of finishes at the UFC Apex.,2025-11-09 17:59:20-06:00,2025-11-09 18:24:53-06:00,Simon Head,simonheadsport
/news/ufc-fight-night-bonfim-vs-brown-main-card-results-highlights-recaps-winners-interviews,Results,3 weeks ago,Main Card Results | UFC Fight Night: Bonfim vs Brown,Main Card Results | UFC Fight Night: Bonfim vs Brown,"Get Live Results, Watch Post-Fight Interviews With The Main Card Winners And More From UFC Fight Night: Bonfim vs Brown, Live From UFC APEX In Las Vegas, Nevada On November 8, 2025",2025-11-08 18:00:00-06:00,2025-11-08 21:14:31-06:00,E. Spencer Kyte,SpencerKyte
/news/ufc-fight-night-bonfim-vs-brown-prelim-results-highlights-recaps-winners-interviews,Results,3 weeks ago,Prelim Results | UFC Fight Night: Bonfim vs Brown,Prelim Results | UFC Fight Night: Bonfim vs Brown,"Get Live Results, Watch Post-Fight Interviews With The Prelim Winners And More From UFC Fight Night: Bonfim vs Brown, Live From UFC APEX In Las Vegas, Nevada On November 8, 2025",2025-11-08 15:00:00-06:00,2025-11-10 13:22:18-06:00,E. Spencer Kyte,SpencerKyte
/news/ricky-simon-the-rebound-year-ufc-fight-night-bonfim-vs-brown,Athletes,4 weeks ago,Ricky Simon | The Rebound Year,Ricky Simon | The Rebound Year,Bantamweight Staple Looks To Wrap Up 2025 With A Third Straight Victory On Saturday,2025-11-07 10:25:04-06:00,2025-11-07 12:46:46-06:00,E. Spencer Kyte,spencerkyte
/news/jacqueline-cavalcanti-dark-horse-ufc-vegas-111,Athletes,4 weeks ago,Jacqueline Cavalcanti | Bantamweight’s Dedicated…,Jacqueline Cavalcanti | Bantamweight’s Dedicated Dark Horse,Ascending Portuguese Fighter Details Her Version Of Las Vegas Ahead Of Home Game On Saturday,2025-11-07 10:09:46-06:00,2025-11-07 10:26:41-06:00,E. Spencer Kyte,
/news/mayra-bueno-silva-confident-in-the-face-of-adversity-ufc-fight-night-bonfim-vs-brown,Athletes,4 weeks ago,Mayra Bueno Silva | Confident In The Face Of…,Mayra Bueno Silva | Confident In The Face Of Adversity,Former Title Challenger Plans To Snap Her Winless Streak And Prove She Still Belongs Among The Bantamweight Elite,2025-11-07 10:00:00-06:00,2025-11-07 12:51:13-06:00,Simon Head,simonheadsport
/news/gabriel-bonfim-leveled-up-legend-ufc-vegas-111,Athletes,4 weeks ago,Gabriel Bonfim | Leveled Up By A Legend,Gabriel Bonfim | Leveled Up By A Legend,"Brazilian Welterweight Contender Is Still Growing, And Still Learning As A Fighter, As He Makes His Way Up The 170-Pound Division",2025-11-06 18:39:27-06:00,2025-11-06 19:05:11-06:00,Simon Head,simonheadsport
