file,num_man_paragraphs,num_woman_paragraphs,num_equal_paragraphs,num_genderless_paragraphs,num_tokens,num_paragraphs
news_diego-lopes-dream-believe-and-make-it-happen-ufc-314.txt,12,0,0,3,959,15
news_diego-lopes-knows-he-is-a-high-level-fighter-noche-ufc.txt,13,0,0,1,818,14
news_dione-barbosa-putting-pieces-together-ufc-vegas-105.txt,0,13,0,0,741,13
news_dominick-reyes-never-lost-faith-ufc-314.txt,16,0,0,3,1132,19
news_dominick-reyes-returning-to-form-ufc-314.txt,9,0,0,1,716,10
news_donte-johnson-clocking-in-ufc-vegas-110.txt,25,0,0,3,1834,28
news_drakkar-klose-does-not-want-to-have-any-regrets-ufc-319.txt,15,0,0,2,1330,17
news_drew-dober-is-always-chasing-the-moment-ufc-mexico.txt,22,0,0,9,1042,31
news_dricus-du-plessis-biggest-dog-yard-ufc-312.txt,25,0,0,7,2109,32
news_dricus-du-plessis-new-era-middleweight-ufc-319.txt,11,0,0,0,575,11
news_dricus-du-plessis-theres-no-man-that-can-break-me-ufc-319.txt,19,0,0,1,1260,20
news_dues-paid-jasmine-jasudavicius-set-sights-top.txt,0,12,0,1,769,13
news_dusko-todorovic-is-refreshed-recovered-and-ready-to-go-ufc-vegas-107.txt,18,0,0,9,1144,27
news_dustin-jacoby-stays-focused-on-what-he-can-control-ufc-vegas-107.txt,14,0,0,2,1295,16
news_dustin-poirier-diamond-last-dance-bmf-ufc-318.txt,26,1,0,8,1726,35
news_dustin-stoltzfus-embracing-the-grind-ufc-fight-night-burns-vs-morales.txt,9,0,0,2,813,11
news_dustin-stoltzfus-its-now-or-never-noche-ufc.txt,19,0,0,6,1728,25
news_dwcs-alumni-set-shine-baku-ufc-fight-night-hill-vs-rountree-jr.txt,10,0,0,1,824,11
news_dylan-budka-hitting-restart-ufc-fight-night-cannonier-vs-rodrigues.txt,15,0,0,6,1222,21
news_edgar-chairez-from-tepito-to-the-octagon-ufc-mexico.txt,6,0,0,3,348,9
news_edgar-chairez-is-picking-up-momentum.txt,12,0,0,2,827,14
news_edmen-shahbazyan-eager-to-shine-brighter-than-ever-ufc-atlanta.txt,13,0,0,0,852,13
news_edson-barboza-looking-for-a-war-like-always-ufc-319.txt,17,0,0,3,1218,20
news_elijah-smith-aims-continue-his-momentum.txt,11,0,0,0,1099,11
news_elijah-smith-poised-for-the-spotlight-ufc-fight-night-cannonier-vs-rodrigues-dana-whites-contender-series.txt,15,1,0,2,1806,18
news_eric-mcconico-the-grind-never-stops-ufc-seattle.txt,10,0,0,0,691,10
news_erin-blanchfield-flyweight-future-main-event-ufc-vegas-107.txt,1,18,0,1,1040,20
news_erin-blanchfield-wants-to-make-the-most-of-her-chances-vechain-ufc-322.txt,0,12,0,0,950,12
news_eryk-anders-I%27%27m-just-focused-ufc-fight-night-dolidze-vs-hernandez.txt,13,0,0,3,1025,16
news_esteban-ribovics-i-just-love-fighting-ufc-fight-night-kape-vs-almabayev.txt,13,0,0,2,771,15
news_evan-elder-trades-hustle-culture-for-greater-focus-ufc-kansas-city.txt,23,0,0,8,2210,31
news_every-ilia-topuria-ufc-finish.txt,17,0,0,0,929,17
news_fan-events-schedule-ufc-312-du-plessis-vs-strickland-2-sydney-press-conference-ceremonial-weigh-ins.txt,0,0,0,21,402,21
news_fan-events-schedule-ufc-313-pereira-vs-ankalaev-las-vegas-press-conference-ceremonial-weigh-ins.txt,0,0,0,14,247,14
news_fan-events-schedule-ufc-314-volkanovski-vs-lopes-press-conference-ceremonial-weigh-ins-fan-experience-miami.txt,0,0,0,18,341,18
news_fan-events-schedule-ufc-315-muhammad-vs-della-maddalena-press-conference-ceremonial-weigh-ins-montreal.txt,1,0,0,14,260,15
news_fan-events-schedule-ufc-316-dvalishvili-vs-omalley-2-press-conference-ceremonial-weigh-ins.txt,0,0,0,18,317,18
news_fan-events-schedule-ufc-317-topuria-vs-oliveira-press-conference-ceremonial-weigh-ins-hall-of-fame-ufc-x.txt,1,0,0,28,760,29
news_fares-ziam-growing-serious-threat-ufc-323-lightweight.txt,19,0,0,3,1219,22
news_fares-ziam-repeat-feat-ufc-saudi-arabia.txt,20,0,0,3,768,23
news_fatima-kline-im-going-run-through-the-division-ufc-nashville.txt,1,10,0,2,1308,13
news_fatima-kline-wants-keep-making-memories-ufc-322-new-york-city.txt,1,23,0,4,1968,28
news_featherweight-division-2026-preview.txt,11,0,0,1,745,12
news_featherweight-to-lightweight-fighters-who-thrived-moving-up-oliveira-poirier-holloway-mcgregor.txt,9,0,0,3,870,12
news_fight-by-fight-preview-imavov-borralho-ufc-paris.txt,36,2,0,6,2213,44
news_fight-by-fight-preview-lewis-teixeira-ufc-nashville.txt,32,4,0,8,2214,44
news_fight-by-fight-preview-ufc-311-makhachev-vs-moicano.txt,34,2,0,10,2440,46
news_fight-by-fight-preview-ufc-314-volkanovski-vs-lopes.txt,32,4,0,9,2257,45
news_fight-by-fight-preview-ufc-315-muhammad-vs-della-maddalena.txt,25,11,0,8,2122,44
news_fight-by-fight-preview-ufc-317-topuria-vs-oliveira.txt,35,2,0,9,2438,46
news_fight-by-fight-preview-ufc-319-du-plessis-vs-chimaev.txt,30,4,0,10,2487,44
news_fight-by-fight-preview-ufc-321-aspinall-vs-gane-abu-dhabi.txt,31,6,2,3,2419,42
news_fight-by-fight-preview-ufc-fight-night-burns-vs-morales.txt,32,6,0,8,2259,46
news_fight-by-fight-preview-ufc-fight-night-cannonier-vs-rodrigues.txt,34,4,0,7,2520,45
news_fight-by-fight-preview-ufc-fight-night-garcia-vs-onama.txt,25,6,0,10,2071,41
news_fight-by-fight-preview-ufc-fight-night-hill-vs-rountree-jr.txt,31,4,0,10,2127,45
news_fight-by-fight-preview-ufc-fight-night-kape-vs-almabayev.txt,28,3,0,9,2225,40
news_fight-by-fight-preview-ufc-fight-night-machado-garry-vs-prates.txt,39,4,0,6,2510,49
news_fight-by-fight-preview-ufc-fight-night-sandhagen-vs-figueiredo.txt,25,8,0,11,2298,44
news_fight-by-fight-preview-ufc-fight-night-tsarukyan-vs-hooker-doha-qatar.txt,42,0,0,7,2520,49
news_fight-by-fight-preview-ufc-fight-night-vettori-vs-dolidze-2.txt,31,6,0,5,2120,42
news_fight-by-fight-preview-ufc-mexico-moreno-vs-erceg.txt,39,2,0,7,2438,48
news_fight-by-fight-preview-ufc-saudi-arabia-adesanya-vs-imavov.txt,39,3,0,8,2037,50
news_fight-fight-preview-noche-ufc-lopes-vs-silva.txt,34,5,0,7,2439,46
news_fight-fight-preview-ufc-312-du-plessis-vs-strickland-2.txt,29,7,1,9,2449,46
news_fight-fight-preview-ufc-313-pereira-vs-ankalaev.txt,32,3,0,6,2267,41
news_fight-fight-preview-ufc-318-holloway-vs-poirier-3.txt,38,2,0,7,2132,47
news_fight-fight-preview-ufc-323-dvalishvili-vs-yan-2.txt,38,2,0,6,2579,46
news_fight-fight-preview-ufc-abu-dhabi-whittaker-vs-reinier-de-ridder.txt,34,2,0,5,1967,41
news_fight-fight-preview-ufc-atlanta-usman-vs-buckley.txt,33,5,0,7,2350,45
news_fight-fight-preview-ufc-fight-night-blanchfield-vs-barber-vegas-107.txt,23,9,0,9,2110,41
news_fight-fight-preview-ufc-fight-night-bonfim-vs-brown-vegas-111.txt,31,4,0,11,2322,46
news_fight-fight-preview-ufc-fight-night-emmett-vs-murphy-ufc-vegas-105.txt,29,6,0,10,2121,45
news_fight-fight-preview-ufc-fight-night-london-edwards-vs-brady.txt,32,6,0,8,2399,46
news_fight-fight-preview-ufc-fight-night-royval-vs-kape-vegas-112.txt,32,6,0,9,2421,47
news_fight-fight-preview-ufc-fight-night-taira-vs-park-vegas-108.txt,27,5,0,10,1972,42
news_fight-fight-preview-ufc-seattle-cejudo-vs-song.txt,36,0,0,7,2249,43
news_fight-fight-preview-ufc-shanghai-walker-vs-zhang.txt,34,0,0,8,1943,42
news_fight-results-ufc-fight-night-dolidze-vs-hernandez.txt,29,9,0,2,2261,40
news_fighter-spotlight-mauricio-ruffy-ufc-paris.txt,8,0,0,1,674,9
news_fighters-2025-half-year-awards.txt,15,0,0,1,1002,16
news_fighters-2025-ufccom-awards.txt,24,4,1,1,2000,30
news_fighters-discuss-ufc-performance-institutes-key-role-in-ufc-mexico-prep.txt,10,0,0,4,707,14
news_fighters-on-rise-nolan-park-jenkins-ufc-312.txt,17,0,0,2,1300,19
news_fighters-on-rise-nyc-vechain-ufc-322.txt,10,5,0,5,1386,20
news_fighters-on-rise-ufc-vegas-105-lookboonmee-nzechukwu-gurule.txt,12,6,0,2,1435,20
news_fighters-on-the-rise-ufc-314-volkanovski-vs-lopes-jean-silva-sean-woodson-marco-tulio.txt,19,0,0,2,1525,21
news_fighters-on-the-rise-ufc-315-muhammad-vs-della-maddalena.txt,13,5,0,5,1474,23
news_fighters-on-the-rise-ufc-318-holloway-vs-poirier-3.txt,17,0,0,7,1670,24
news_fighters-on-the-rise-ufc-319-du-plessis-vs-chimaev.txt,18,0,0,3,1816,21
news_fighters-on-the-rise-ufc-323.txt,16,0,0,4,1459,20
news_fighters-on-the-rise-ufc-atlanta-abdul-malik-sy-wellmaker.txt,19,0,0,2,1605,21
news_fighters-on-the-rise-ufc-baku-bahamondes-sadykhov-elliott.txt,17,0,0,3,1381,20
news_fighters-on-the-rise-ufc-fight-night-bonfim-vs-brown-morales-tulio-cavalcanti.txt,11,7,0,3,1729,21
news_fighters-on-the-rise-ufc-fight-night-london-2025.txt,24,0,0,2,1800,26
news_fighters-on-the-rise-ufc-fight-night-royval-vs-kape-vallejos-amosov-oleksiejczuk.txt,17,1,0,2,1447,20
news_fighters-on-the-rise-ufc-fight-night-sandhagen-vs-figueiredo.txt,18,0,0,3,1422,21
news_fighters-on-the-rise-ufc-fight-night-taira-vs-park.txt,16,0,0,4,1319,20
news_fighters-on-the-rise-ufc-mexico.txt,21,0,0,0,1586,21
news_fighters-on-the-rise-ufc-paris-ruffy-keita-ruchala.txt,17,0,0,5,1551,22
news_fighters-on-the-rise-ufc-seattle-anthony-hernandez-jean-silva-mansur-abdul-malik.txt,20,0,0,4,1792,24
news_fighters-on-the-rise-ufc-shanghai-walker-vs-zhang.txt,19,0,0,5,1634,24
news_fighters-on-the-rise-ufc-vegas-103.txt,15,0,1,6,1563,22
news_fighters-rise-ufc-311-makhachev-vs-tsarkukyan-2-talbott-nakamura-carpenter.txt,19,0,0,6,1613,25
news_fighters-rise-ufc-313-pereira-vs-ankalaev-kuniev-santos-lucindo.txt,11,7,0,5,1544,23
news_fighters-rise-ufc-316-dvalishvili-vs-omalley-2.txt,22,0,0,2,1599,24
news_fighters-rise-ufc-abu-dhabi-ufc-fight-night-whittaker-vs-de-ridder.txt,16,0,0,3,1300,19
news_fighters-rise-ufc-fight-night-blanchfield-vs-barber.txt,10,6,0,4,1290,20
news_fighters-rise-ufc-fight-night-burns-vs-morales-vegas-106.txt,15,0,0,3,1371,18
news_fighters-rise-ufc-fight-night-cannonier-vs-rodrigues.txt,6,10,0,5,1654,21
news_fighters-rise-ufc-fight-night-garcia-vs-onama-delija-nascimento-dumont.txt,10,5,0,2,1449,17
news_fighters-rise-ufc-fight-night-lewis-vs-teixeira-ufc-nashville.txt,10,5,0,7,1499,22
